CVE ID,src txt1,component1,src txt2,component1,value
CVE-2023-33973,"RIOT-OS, an operating system for Internet of Things (IoT) devices, contains a network stack with the ability to process 6LoWPAN frames. In versions 2023.01 and prior, an attacker can send a crafted frame which is forwarded by the device. During encoding of the packet a NULL pointer dereference occurs. This crashes the device leading to denial of service. A patch is available at pull request 19678. There are no known workarounds.",network stack,RIOT-OS. <= 2023.01. RIOT-OS contains a network stack with the ability to process 6LoWPAN frames. An attacker can send a crafted frame which is forwarded by the device. During encoding of the packet a NULL pointer dereference occurs. This crashes the device leading to denial of service.,network stack,1
CVE-2018-8531,"A remote code execution vulnerability exists in the way that Azure IoT Hub Device Client SDK using MQTT protocol accesses objects in memory, aka ""Azure IoT Device Client SDK Memory Corruption Vulnerability."" This affects Hub Device Client SDK, Azure IoT Edge.",accesses objects in memory,"A remote code execution vulnerability exists in the way that Azure IoT Hub Device Client SDK using MQTT protocol accesses objects in memory. The vulnerability could corrupt memory in a way that could allow an attacker to execute arbitrary code in the context of the current user. An attacker who successfully exploited the vulnerability could gain the same user rights as the current user. If the current user is logged on with administrative user rights, the attacker could take control of an affected system. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights.

An attacker would have no way to force users to view the attacker-controlled content. Instead, an attacker would have to convince users to take action, typically via an enticement in email or instant message, or by getting them to open an email attachment.",accesses objects in memory,1
CVE-2018-7111,"A remote unauthorized access vulnerability was identified in HPE UIoT versions 1.5, 1.4.0, 1.4.1, 1.4.2, 1.2.4.2. Specifically, there is a malfunction identified in some section of the DSM portal and some DSM APIs. The impact of the malfunction is that the info can be changed by other users.",some section of the DSM portal and some DSM APIs,"HPE UIoT could allow a remote attacker to gain unauthorized access to the system, caused by a malfunction in the DSM portal and DSM APIs. An attacker could exploit this vulnerability to change information. HPE UIoT 1.5.",the DSM portal and DSM APIs,3
,"HPE UIoT could allow a remote attacker to gain unauthorized access to the system, caused by a malfunction in the DSM portal and DSM APIs. An attacker could exploit this vulnerability to change information. HPE UIoT 1.5.",the DSM portal and DSM APIs,"HPE UIoT v- 1.5,1.4.0, 1.4.1, 1.4.2, 1.2.4.2 has a remote unauthorized data access vulnerability. Specifically, there is a malfunction identified in some section of the DSM portal and some DSM APIs. The impact of the malfunction is that the info can be changed by other users.",some section of the DSM portal and some DSM APIs,3
,"HPE UIoT v- 1.5,1.4.0, 1.4.1, 1.4.2, 1.2.4.2 has a remote unauthorized data access vulnerability. Specifically, there is a malfunction identified in some section of the DSM portal and some DSM APIs. The impact of the malfunction is that the info can be changed by other users.",some section of the DSM portal and some DSM APIs,"A remote unauthorized access vulnerability was identified in HPE UIoT versions 1.5, 1.4.0, 1.4.1, 1.4.2, 1.2.4.2. Specifically, there is a malfunction identified in some section of the DSM portal and some DSM APIs. The impact of the malfunction is that the info can be changed by other users.",some section of the DSM portal and some DSM APIs,1
CVE-2023-24819,"RIOT-OS, an operating system that supports Internet of Things devices, contains a network stack with the ability to process 6LoWPAN frames. Prior to version 2022.10, an attacker can send a crafted frame to the device resulting in an out of bounds write in the packet buffer. The overflow can be used to corrupt other packets and the allocator metadata. Corrupting a pointer will easily lead to denial of service. While carefully manipulating the allocator metadata gives an attacker the possibility to write data to arbitrary locations and thus execute arbitrary code. Version 2022.10 fixes this issue. As a workaround, disable support for fragmented IP datagrams or apply the patches manually.",network stack,RIOT-OS. < 2022.10. RIOT-OS contains a network stack with the ability to process 6LoWPAN frames. An attacker can send a crafted frame to the device resulting in an out of bounds write in the packet buffer. The overflow can be used to corrupt other packets and the allocator metadata. Corrupting a pointer will easily lead to denial of service. While carefully manipulating the allocator metadata gives an attacker the possibility to write data to arbitrary locations and thus execute arbitrary code.,network stack,1
CVE-2023-24821,"RIOT-OS, an operating system that supports Internet of Things devices, contains a network stack with the ability to process 6LoWPAN frames. Prior to version 2022.10, an attacker can send a crafted frame to the device resulting in a large out of bounds write beyond the packet buffer. The write will create a hard fault exception after reaching the last page of RAM. The hard fault is not handled and the system will be stuck until reset, thus the impact is denial of service. Version 2022.10 fixes this issue. As a workaround, disable support for fragmented IP datagrams or apply the patches manually.",network stack,RIOT-OS. < 2022.10. RIOT-OS contains a network stack with the ability to process 6LoWPAN frames. An attacker can send a crafted frame to the device resulting in a large out of bounds write beyond the packet buffer. The write will create a hard fault exception after reaching the last page of RAM. The hard fault is not handled and the system will be stuck until reset. Thus the impact is denial of service.,network stack,1
CVE-2021-21280,"Contiki-NG is an open-source, cross-platform operating system for internet of things devices. It is possible to cause an out-of-bounds write in versions of Contiki-NG prior to 4.6 when transmitting a 6LoWPAN packet with a chain of extension headers. Unfortunately, the written header is not checked to be within the available space, thereby making it possible to write outside the buffer. The problem has been patched in Contiki-NG 4.6. Users can apply the patch for this vulnerability out-of-band as a workaround.",transmitting a 6LoWPAN packet with a chain of extension headers,"Contiki-NG. < 4.6. It is possible to cause an out-of-bounds write in Contiki-NG when transmitting a 6LoWPAN packet with a chain of extension headers. Unfortunately, the written header is not checked to be within the available space, thereby making it possible to write outside the buffer.",transmitting a 6LoWPAN packet with a chain of extension headers,1
CVE-2020-9306,"Tesla SolarCity Solar Monitoring Gateway through 5.46.43 has a ""Use of Hard-coded Credentials"" issue because Digi ConnectPort X2e uses a .pyc file to store the cleartext password for the python user account.",Digi ConnectPort X2e ,"Tesla/SolarCity's ConnectPort X2e firmware stored cleartext credentials for the local user python in compiled Python (""PYC"") files. This password could be used by a malicious user to establish an SSH connection to a X2e device as this user.

High - Using the hardcoded credentials, an attacker can connect to any X2e device to extract sensitive information, install a persistence mechanism, escalate privileges, or cause denial of service conditions.",ConnectPort X2e firmware,3
CVE-2019-20215,"D-Link DIR-859 1.05 and 1.06B01 Beta01 devices allow remote attackers to execute arbitrary OS commands via a urn: to the M-SEARCH method in ssdpcgi() in /htdocs/cgibin, because HTTP_ST is mishandled. The value of the urn: service/device is checked with the strstr function, which allows an attacker to concatenate arbitrary commands separated by shell metacharacters.",a urn: to the M-SEARCH method in ssdpcgi() in /htdocs/cgibin,"DIR-859. 1.06b01 Beta01, 1.05. Remote code execution (Unauthenticated, LAN). The remote code execution vulnerability was found in the ssdpcgi() function, where a solution (patch) for the vulnerability had previously been implemented, but the vulnerability still persists because all the environment variables were not filtered correctly. ",the ssdpcgi() function,3
