CVE ID,src txt1,version1,src txt2,version2,value(1:consistent;2:henterngous;3:containted;4:Divergent;5:Repugnant)
CVE-2023-33973,"RIOT-OS, an operating system for Internet of Things (IoT) devices, contains a network stack with the ability to process 6LoWPAN frames. In versions 2023.01 and prior, an attacker can send a crafted frame which is forwarded by the device. During encoding of the packet a NULL pointer dereference occurs. This crashes the device leading to denial of service. A patch is available at pull request 19678. There are no known workarounds.",2023.01 and prior,RIOT-OS. <= 2023.01. RIOT-OS contains a network stack with the ability to process 6LoWPAN frames. An attacker can send a crafted frame which is forwarded by the device. During encoding of the packet a NULL pointer dereference occurs. This crashes the device leading to denial of service.,<= 2023.01,2
CVE-2018-7111,"A remote unauthorized access vulnerability was identified in HPE UIoT versions 1.5, 1.4.0, 1.4.1, 1.4.2, 1.2.4.2. Specifically, there is a malfunction identified in some section of the DSM portal and some DSM APIs. The impact of the malfunction is that the info can be changed by other users.","1.5, 1.4.0, 1.4.1, 1.4.2, 1.2.4.2","HPE UIoT could allow a remote attacker to gain unauthorized access to the system, caused by a malfunction in the DSM portal and DSM APIs. An attacker could exploit this vulnerability to change information. HPE UIoT 1.5.",1.5,3
,"HPE UIoT could allow a remote attacker to gain unauthorized access to the system, caused by a malfunction in the DSM portal and DSM APIs. An attacker could exploit this vulnerability to change information. HPE UIoT 1.5.",1.5,"HPE UIoT v- 1.5,1.4.0, 1.4.1, 1.4.2, 1.2.4.2 has a remote unauthorized data access vulnerability. Specifically, there is a malfunction identified in some section of the DSM portal and some DSM APIs. The impact of the malfunction is that the info can be changed by other users.","1.5,1.4.0, 1.4.1, 1.4.2, 1.2.4.2",3
,"HPE UIoT v- 1.5,1.4.0, 1.4.1, 1.4.2, 1.2.4.2 has a remote unauthorized data access vulnerability. Specifically, there is a malfunction identified in some section of the DSM portal and some DSM APIs. The impact of the malfunction is that the info can be changed by other users.","1.5,1.4.0, 1.4.1, 1.4.2, 1.2.4.2","A remote unauthorized access vulnerability was identified in HPE UIoT versions 1.5, 1.4.0, 1.4.1, 1.4.2, 1.2.4.2. Specifically, there is a malfunction identified in some section of the DSM portal and some DSM APIs. The impact of the malfunction is that the info can be changed by other users.","1.5, 1.4.0, 1.4.1, 1.4.2, 1.2.4.2",1
CVE-2018-8479,"A spoofing vulnerability exists for the Azure IoT Device Provisioning for the C SDK library using the HTTP protocol on Windows platform, aka ""Azure IoT SDK Spoofing Vulnerability."" This affects C SDK.",using the HTTP protocol on Windows platform,"A spoofing vulnerability exists for the Azure IoT Device Provisioning for the C SDK library using the HTTP protocol on Windows platform. An attacker who successfully exploited this vulnerability could impersonate a server used during the provisioning process.

To exploit this vulnerability, an attacker would need to perform a man-in-the-middle (MitM) attack on the network that provisioning was taking place.

This security update addresses the vulnerability by correcting how the HTTP transport library validates certificates.

This vulnerability does NOT impact other Azure IoT SDK¡¯s such as Java/Node/C#, does NOT impact the C SDK when running on Linux or embedded OS¡¯s, and only impacts when using the HTTP transport and NOT MQTT or AMQP",using the HTTP protocol on Windows platform,1
CVE-2023-24821,"RIOT-OS, an operating system that supports Internet of Things devices, contains a network stack with the ability to process 6LoWPAN frames. Prior to version 2022.10, an attacker can send a crafted frame to the device resulting in a large out of bounds write beyond the packet buffer. The write will create a hard fault exception after reaching the last page of RAM. The hard fault is not handled and the system will be stuck until reset, thus the impact is denial of service. Version 2022.10 fixes this issue. As a workaround, disable support for fragmented IP datagrams or apply the patches manually.",Prior to version 2022.10,RIOT-OS. < 2022.10. RIOT-OS contains a network stack with the ability to process 6LoWPAN frames. An attacker can send a crafted frame to the device resulting in a large out of bounds write beyond the packet buffer. The write will create a hard fault exception after reaching the last page of RAM. The hard fault is not handled and the system will be stuck until reset. Thus the impact is denial of service.,< 2022.10,2
CVE-2021-21280,"Contiki-NG is an open-source, cross-platform operating system for internet of things devices. It is possible to cause an out-of-bounds write in versions of Contiki-NG prior to 4.6 when transmitting a 6LoWPAN packet with a chain of extension headers. Unfortunately, the written header is not checked to be within the available space, thereby making it possible to write outside the buffer. The problem has been patched in Contiki-NG 4.6. Users can apply the patch for this vulnerability out-of-band as a workaround.",prior to 4.6,"Contiki-NG. < 4.6. It is possible to cause an out-of-bounds write in Contiki-NG when transmitting a 6LoWPAN packet with a chain of extension headers. Unfortunately, the written header is not checked to be within the available space, thereby making it possible to write outside the buffer.",< 4.6,2
CVE-2014-9222,"AllegroSoft RomPager 4.34 and earlier, as used in Huawei Home Gateway products and other vendors and products, allows remote attackers to gain privileges via a crafted cookie that triggers memory corruption, aka the ""Misfortune Cookie"" vulnerability.",4.34 and earlier,"Many home and office/home office (SOHO) routers have been found to be using vulnerable versions of the Allegro RomPager embedded web server. Allegro RomPager versions prior to 4.34 contain a vulnerability in cookie processing code that can be leveraged to grant attackers administrative privileges on the device. According to Check Point's advisory, the vulnerability was addressed by Allegro in 2005 but is present in current or recent firmware releases of many devices. A remote, unauthenticated attacker may be able to execute arbitrary code on the device.",prior to 4.34,2
CVE-2019-20215,"D-Link DIR-859 1.05 and 1.06B01 Beta01 devices allow remote attackers to execute arbitrary OS commands via a urn: to the M-SEARCH method in ssdpcgi() in /htdocs/cgibin, because HTTP_ST is mishandled. The value of the urn: service/device is checked with the strstr function, which allows an attacker to concatenate arbitrary commands separated by shell metacharacters.",1.05 and 1.06B01 Beta01,"DIR-859. 1.06b01 Beta01, 1.05. Remote code execution (Unauthenticated, LAN). The remote code execution vulnerability was found in the ssdpcgi() function, where a solution (patch) for the vulnerability had previously been implemented, but the vulnerability still persists because all the environment variables were not filtered correctly. ","1.06b01 Beta01, 1.05",2
CVE-2017-3193,Multiple D-Link devices including the DIR-850L firmware versions 1.14B07 and 2.07.B05 contain a stack-based buffer overflow vulnerability in the web administration interface HNAP service.,1.14B07 and 2.07.B05,"D-Link DIR-850L, firmware versions 1.14B07, 2.07.B05, and possibly others, contains a stack-based buffer overflow vulnerability in the web administration interface HNAP service. Other models may also be affected. A remote, unauthenticated attacker can make a specially crafted POST request to gain arbitrary code execution as root.","1.14B07, 2.07.B05, and possibly others",3
